,Zh (dBZ),Zdr (dB),Ldr (dB),Kdp (deg km-1),Ah (dBZ/km),Adr (dB/km),R (mm/hr)
3865,26.41127584279626,0.3812724652504551,-42.46433445360993,0.011694117944539954,0.0006994091971461491,2.662377764958148e-05,6.301440096591797
3866,29.348955420614086,0.46664356517860284,-41.00936337556363,0.02185726475296619,0.0009856050518475816,5.044527461565474e-05,6.642111374473314
3867,32.87534641468505,0.733838476392154,-37.52119317483113,0.04287176324476713,0.00132586762044334,0.0001033475649993424,7.185496528773949
3868,37.25078775031755,0.963851625664144,-35.46067922373875,0.10374191194959975,0.0024964386733483286,0.0002610804516610548,10.694072249771086
3869,35.17078102128383,0.8431919835418216,-36.42475412015792,0.06862495220496298,0.0019774910396127793,0.00016868780575766723,10.997728176609927
3870,34.940941965145306,0.8030148248617601,-36.85329734154059,0.06647678092974596,0.0018672866807887673,0.00016224634876764107,9.165240481834504
3871,22.31384727677609,0.3821200982460974,-42.459820955886244,0.004548233168110775,0.00026735829120796864,1.035675262114769e-05,2.3407451740448173
3872,21.458729524170547,0.4152597886709333,-41.785580055106166,0.0036703582516161757,0.00020916073434436067,8.398990909445843e-06,1.9065739640666344
3873,30.234133568565177,0.3770357460937952,-42.543725784557054,0.02827535807066223,0.0017287408667804635,6.433021826856623e-05,16.011191751925185
3874,25.031354905067968,0.5394396025824458,-39.81307205248511,0.007809495196026341,0.0003364558512214173,1.8222707120210452e-05,2.460846048161128
3875,21.890415738933036,0.6495697253652405,-38.444078032237876,0.0035724890853179947,0.00012379689421999684,8.488831250950198e-06,0.7331506042733774
3876,18.749985182048718,0.4335714640822096,-41.45609640004941,0.0019473443294675923,0.00010626083121214419,4.468755287036376e-06,0.9401970269259656
3877,24.33076119375211,0.6817471687558194,-38.095959420369304,0.006159536845748399,0.0002008251593412334,1.4716728980087462e-05,1.1123335396101113
